ROW,SITE,TREATMENT,FENCE,NPK.ADDED,MAT,MAP,SOLAR.INS,N.DEPOSITION,GRAZING.INDEX,SOIL.PCT.N,TOTAL.AG.BIOMASS,PERCENT.GRASS.BIOMASS,plant.NPK,plant.N,plant.P,plant.K
70,hart.us,Control,0,0,7.4,272,7.5776255,2.0153,11,0.123,27.35,0.590493601,2.850008185,1.288497098,0.265714456,1.295796631
71,hart.us,NPK,0,1,7.4,272,7.5776255,2.0153,11,0.181,82.2,0.78649635,2.513755116,1.12647897,0.223830207,1.163445939
72,hart.us,Fence,1,0,7.4,272,7.5776255,2.0153,11,0.101,94.4,0.99,2.90131177,1.452905,0.12961977,1.318787
73,hart.us,Control,0,0,7.4,272,7.5776255,2.0153,11,0.089,52.85,0.99,2.4799402,1.163992333,0.1984482,1.117499667
74,hart.us,NPK_Fence,1,1,7.4,272,7.5776255,2.0153,11,0.143,121.1,0.945912469,3.701378969,1.79696848,0.205124694,1.699285795
75,hart.us,NPK_Fence,1,1,7.4,272,7.5776255,2.0153,11,0.077,381.6,0.958857442,2.307084418,1.013782586,0.237670837,1.055630995
76,hart.us,Control,0,0,7.4,272,7.5776255,2.0153,11,0.085,48.65,0.99,1.979806133,0.893454267,0.2094679,0.876883967
77,hart.us,NPK,0,1,7.4,272,7.5776255,2.0153,11,0.084,93.25,0.845576408,2.336215626,1.085550787,0.23731417,1.013350669
78,hart.us,Fence,1,0,7.4,272,7.5776255,2.0153,11,0.066,35.75,0.746853147,3.187925325,1.566395474,0.272047801,1.34948205
79,kibber.in,NPK_Fence,1,1,1.1,504,8.564421866,14.231,22,0.102,139.65,0.455066237,4.979795083,2.557643108,0.158282358,2.263869616
80,kibber.in,Fence,1,0,1.1,504,8.564421866,14.231,22,0.096,18.6,0.35483871,3.353679667,1.53126129,0.122668809,1.699749568
81,kibber.in,Control,0,0,1.1,504,8.564421866,14.231,22,0.083,14.8,0.449324324,5.27333464,2.44900777,0.16277343,2.66155344
82,kibber.in,Fence,1,0,1.1,504,8.564421866,14.231,22,0.12,50.05,0.295704296,3.490117358,1.601944755,0.099189947,1.788982656
83,look.us,NPK_Fence,1,1,4.8,1898,7.419482293,2.8441,8,1.28,139.400005,0.40136297,7.981440123,2.854171095,0.373154523,4.754114505
84,look.us,Control,0,0,4.8,1898,7.419482293,2.8441,8,1.262,28.85,0.99,5.312108233,2.435366667,0.290446567,2.586295
85,look.us,Fence,1,0,4.8,1898,7.419482293,2.8441,8,1.502,141.1,0.323175053,7.52415423,2.66764333,0.296956457,4.559554442
86,look.us,NPK,0,1,4.8,1898,7.419482293,2.8441,8,1.209,181.300005,0.749862114,6.368671072,2.189597373,0.358654723,3.820418977
87,look.us,Fence,1,0,4.8,1898,7.419482293,2.8441,8,1.29,138.8,0.145172911,8.286219279,2.679761656,0.338129604,5.268328018
88,look.us,Control,0,0,4.8,1898,7.419482293,2.8441,8,1.375,22.8,0.655701754,7.838510859,3.603127139,0.366159226,3.869224494
89,look.us,NPK_Fence,1,1,4.8,1898,7.419482293,2.8441,8,1.244,65.2,0.815184049,4.238433167,0.623703441,0.346719602,3.268010124
90,look.us,NPK,0,1,4.8,1898,7.419482293,2.8441,8,1.297,107.95,0.99,7.43652,3.26,0.38916,3.78736
91,look.us,Control,0,0,4.8,1898,7.419482293,2.8441,8,1.042,73.5,0.282993197,8.707303914,3.348131953,0.453078663,4.906093298
92,look.us,NPK,0,1,4.8,1898,7.419482293,2.8441,8,1.165,44.7,0.579418345,6.583730844,2.022964019,0.208755294,4.352011532
93,look.us,Fence,1,0,4.8,1898,7.419482293,2.8441,8,1.108,100.9,0.317145689,8.044087242,2.946437072,0.303629363,4.794020807
94,look.us,NPK_Fence,1,1,4.8,1898,7.419482293,2.8441,8,1.012,149.15,0.681528662,8.129080855,3.295723949,0.390713962,4.442642945
95,marc.ar,NPK,0,1,13.9,838,8.188484,3.1964,8,0.438,670.5,0.983594333,2.685697642,1.15490077,0.17514285,1.355654022
96,marc.ar,Control,0,0,13.9,838,8.188484,3.1964,8,0.382,182,0.931318681,2.518256671,1.102181989,0.208530628,1.207544054
97,marc.ar,Control,0,0,13.9,838,8.188484,3.1964,8,0.382,985,0.998477157,1.724566523,0.749369511,0.146306572,0.82889044
98,marc.ar,NPK_Fence,1,1,13.9,838,8.188484,3.1964,8,0.382,707,0.99,2.363843915,1.0093126,0.180407771,1.174123544
99,marc.ar,Fence,1,0,13.9,838,8.188484,3.1964,8,0.404,482,0.968879668,1.918398955,0.85480862,0.214698783,0.848891552
100,marc.ar,NPK,0,1,13.9,838,8.188484,3.1964,8,0.382,441,0.880952381,3.22072664,1.445645705,0.223990207,1.551090729
101,mtca.au,NPK_Fence,1,1,17.3,330,8.70742896,1.0662,9,0.099,255.7,0.583105201,3.342308798,1.201642176,0.338731349,1.801935273
102,mtca.au,Control,0,0,17.3,330,8.70742896,1.0662,9,0.055,147.55,0.576075906,3.170862053,1.34132826,0.233294598,1.596239195
103,mtca.au,Fence,1,0,17.3,330,8.70742896,1.0662,9,0.053,22.85,0.326039387,3.10682776,1.476945422,0.219425477,1.41045686
104,mtca.au,Control,0,0,17.3,330,8.70742896,1.0662,9,0.053,232.9,0.245813654,2.904623786,1.13997299,0.249229399,1.515421397
105,mtca.au,NPK_Fence,1,1,17.3,330,8.70742896,1.0662,9,0.055,362.35,0.549606734,4.550247159,2.082380644,0.271527029,2.196339486
106,mtca.au,NPK,0,1,17.3,330,8.70742896,1.0662,9,0.066,161.7,0.359616574,4.536967395,2.328978103,0.290906227,1.917083065
107,mtca.au,Fence,1,0,17.3,330,8.70742896,1.0662,9,0.037,195.9,0.228432874,3.842818597,1.664027866,0.22944037,1.949350362
108,mtca.au,NPK_Fence,1,1,17.3,330,8.70742896,1.0662,9,0.076,450.95,0.245592638,3.508000263,1.525880499,0.442146518,1.539973246
109,mtca.au,Fence,1,0,17.3,330,8.70742896,1.0662,9,0.054,147.3,0.290902919,3.600053582,1.61461624,0.2509358,1.734501542
110,mtca.au,Control,0,0,17.3,330,8.70742896,1.0662,9,0.054,135.95,0.326590658,3.755683405,1.592458723,0.317545148,1.845679534
111,mtca.au,NPK,0,1,17.3,330,8.70742896,1.0662,9,0.106,260.95,0.83157693,3.468806778,1.610621172,0.249861732,1.608323874
112,mtca.au,NPK_Fence,1,1,17.3,330,8.70742896,1.0662,9,0.14,411.2,0.377553502,3.163021874,1.059825918,0.331883289,1.771312667
113,mtca.au,Control,0,0,17.3,330,8.70742896,1.0662,9,0.102,148.2,0.438933873,4.362853305,1.897561708,0.349708401,2.115583196
114,mtca.au,Fence,1,0,17.3,330,8.70742896,1.0662,9,0.083,154.55,0.28275639,3.034819758,1.458099801,0.163030126,1.413689831
115,sage.us,NPK_Fence,1,1,5.7,330,7.9127,3.3584,9,0.102,244.9,0.318701511,5.404924899,2.687230313,0.344169344,2.373525242
116,sage.us,Control,0,0,5.7,882,7.9127,3.3584,9,0.35,29.55,0.482233503,3.896666461,2.154255709,0.280971362,1.461439389
117,sage.us,NPK,0,1,5.7,882,7.9127,3.3584,9,0.38,336.2,0.856186794,5.233487418,2.720729664,0.290149268,2.222608486
118,sage.us,Fence,1,0,5.7,882,7.9127,3.3584,9,0.368,144.6,0.323651452,5.847947762,2.839909149,0.348320459,2.659718154
119,sage.us,Control,0,0,5.7,882,7.9127,3.3584,9,0.301,54.3,0.107734807,6.207683281,3.328010901,0.372644997,2.507027384
120,sage.us,Fence,1,0,5.7,882,7.9127,3.3584,9,0.206,74.8,0.332887701,5.683220267,2.758640102,0.371474735,2.55310543
121,sage.us,Control,0,0,5.7,882,7.9127,3.3584,9,0.077,146.8,0.340940054,5.349718237,2.425291194,0.305525875,2.618901168
122,sage.us,NPK,0,1,5.7,882,7.9127,3.3584,9,0.076,156.45,0.351550016,6.37529659,3.196798546,0.363230082,2.815267962
123,sage.us,NPK_Fence,1,1,5.7,882,7.9127,3.3584,9,0.093,160.6,0.621731009,5.053647323,2.547767961,0.293679283,2.212200078
124,sage.us,Fence,1,0,5.7,882,7.9127,3.3584,9,0.431,150.85,0.527345045,5.242584303,2.572818097,0.296691748,2.373074458
125,sereng.tz,Fence,1,0,22.1,882,10.01745497,7.369,29,0.668,83.7,0.910991637,3.01861227,1.074092055,0.333326871,1.611193344
126,sereng.tz,NPK_Fence,1,1,22.1,854,10.01745497,7.369,29,0.39,171.45,0.99,3.207819811,1.1858,0.337534495,1.684485316
127,sereng.tz,NPK,0,1,22.1,854,10.01745497,7.369,29,0.438,175,0.841714286,3.14243333,1.235955739,0.281576531,1.624901061
128,sereng.tz,Control,0,0,22.1,854,10.01745497,7.369,29,0.391,176.9,0.760599209,3.147176363,1.323660317,0.279038056,1.54447799
129,sereng.tz,NPK_Fence,1,1,22.1,854,10.01745497,7.369,29,0.441,147.25,0.820373514,3.08533807,1.209544932,0.300161379,1.575631758
130,sereng.tz,Control,0,0,22.1,854,10.01745497,7.369,29,0.404,133.05,0.962044344,2.537263851,1.114262104,0.278029507,1.14497224
131,sereng.tz,NPK,0,1,22.1,854,10.01745497,7.369,29,0.413,125.35,0.99,2.391943535,0.95982,0.246498218,1.185625317
132,sereng.tz,Fence,1,0,22.1,854,10.01745497,7.369,29,0.382,62.3,0.727126806,3.403251534,1.498692777,0.275891528,1.628667229
133,sereng.tz,Control,0,0,22.1,854,10.01745497,7.369,29,0.441,127.8,0.911971831,2.534853081,1.039811919,0.271148697,1.223892466
134,sereng.tz,NPK,0,1,22.1,854,10.01745497,7.369,29,0.427,158.05,0.965200886,2.9884759,1.251775324,0.238263635,1.498436941
135,sereng.tz,Fence,1,0,22.1,854,10.01745497,7.369,29,0.441,354.95,0.880405691,2.903957244,1.124808006,0.292674783,1.486474454
136,sereng.tz,NPK_Fence,1,1,22.1,854,10.01745497,7.369,29,0.391,356.75,0.6134548,3.818783574,1.672831525,0.298667456,1.847284593
137,sgs.us,NPK_Fence,1,1,8.4,854,7.768333,3.1174,14,0.441,139.75,0.262611807,5.576716726,2.325642459,0.42190137,2.829172897
138,sgs.us,NPK,0,1,8.4,365,7.768333,3.1174,14,0.102,73.95,0.799188641,4.079188118,2.089222047,0.274257872,1.715708199
139,sgs.us,Fence,1,0,8.4,365,7.768333,3.1174,14,0.097,102.7,0.99,3.533553667,1.713828667,0.263270333,1.556454667
140,sgs.us,Control,0,0,8.4,365,7.768333,3.1174,14,0.12,64.45,0.99,2.96013,1.82,0.17736,0.96277
141,sgs.us,Fence,1,0,8.4,365,7.768333,3.1174,14,0.114,77.2,0.99,3.201921567,1.568479333,0.319784233,1.313658
142,sgs.us,Control,0,0,8.4,365,7.768333,3.1174,14,0.096,96.75,0.99,3.235841667,1.529898667,0.336056333,1.369886667
143,sgs.us,NPK_Fence,1,1,8.4,365,7.768333,3.1174,14,0.097,84.05,0.99,3.982432367,1.913675333,0.311297367,1.757459667
144,sgs.us,NPK,0,1,8.4,365,7.768333,3.1174,14,0.077,60.45,0.99,3.661867433,1.827859333,0.258744767,1.575263333
145,sgs.us,NPK,0,1,8.4,365,7.768333,3.1174,14,0.09,147.4,0.375169607,4.201282778,1.794116775,0.312788209,2.094377794
146,sgs.us,Fence,1,0,8.4,365,7.768333,3.1174,14,0.125,93.75,0.779733333,2.922714409,1.314551681,0.226873384,1.381289344
147,sgs.us,Control,0,0,8.4,365,7.768333,3.1174,14,0.09,99.36,0.959641707,2.125102278,0.908704753,0.239647609,0.976749915
148,sgs.us,NPK_Fence,1,1,8.4,365,7.768333,3.1174,14,0.083,175.95,0.361750497,5.684799364,2.172293202,0.084410861,3.428095301
149,spin.us,NPK,0,1,12.5,365,8.03777503,13.8801,4,0.09,618.4,0.055465718,4.350922105,1.909729907,0.334846335,2.106345862
150,spin.us,NPK_Fence,1,1,12.5,1140,8.03777503,13.8801,4,0.265,127.3,0.99,5.618865467,2.715413,0.351786467,2.551666
151,spin.us,Fence,1,0,12.5,1140,8.03777503,13.8801,4,0.259,269.8,0.99,3.7943261,1.786438333,0.278842767,1.729045
152,summ.za,NPK,0,1,18.2,1140,8.8650712,5.0344,5,0.252,292.3,0.714334588,2.508287886,1.038553465,0.163910694,1.305823726
153,summ.za,Control,0,0,18.2,939,8.8650712,5.0344,5,0.439,347.4,0.724525043,1.686968221,0.828413359,0.115719166,0.742835696
154,summ.za,Control,0,0,18.2,939,8.8650712,5.0344,5,0.331,261.2,0.817572741,1.876309395,0.971752187,0.131732792,0.772824417
155,summ.za,NPK,0,1,18.2,939,8.8650712,5.0344,5,0.353,305.4,0.85199738,1.811210328,0.987865619,0.114726142,0.708618567
156,summ.za,NPK,0,1,18.2,939,8.8650712,5.0344,5,0.367,372.9,0.837624028,1.701917676,0.847983537,0.155879289,0.69805485
157,summ.za,Control,0,0,18.2,939,8.8650712,5.0344,5,0.391,339.65,0.99,1.3350026,0.8077279,0.125624633,0.401650067
158,ukul.za,NPK,0,1,18.1,939,8.8764,5.0344,0,0.427,396.2,0.913427562,1.840569493,0.958015516,0.179798477,0.702755499
159,ukul.za,Control,0,0,18.1,880,8.8764,5.0344,0,0.309,587.35,0.782667915,2.055744376,1.069777293,0.128747114,0.857219969
160,ukul.za,Control,0,0,18.1,880,8.8764,5.0344,0,0.331,231.8,0.918679896,1.464869215,0.928577675,0.098485074,0.437806465
161,ukul.za,NPK,0,1,18.1,880,8.8764,5.0344,0,0.327,396.5,0.288020177,2.151086903,1.127810998,0.129777799,0.893498107
162,ukul.za,Control,0,0,18.1,880,8.8764,5.0344,0,0.346,242,0.925413223,1.775437806,0.979689217,0.11590172,0.679846868
163,ukul.za,NPK,0,1,18.1,880,8.8764,5.0344,0,0.311,103.35,0.528301887,2.187965834,1.144693325,0.139895315,0.903377195
164,valm.ch,Control,0,0,0.3,880,7.16055205,18.9057,10,0.311,265.45,0.716895837,3.177988928,1.487390904,0.206840836,1.483757189
165,valm.ch,NPK_Fence,1,1,0.3,1098,7.16055205,18.9057,10,0.391,608.2,0.728132193,4.083360487,1.658292411,0.372447474,2.052620602
166,valm.ch,NPK,0,1,0.3,1098,7.16055205,18.9057,10,0.367,154.45,0.738426675,4.404731092,1.896506941,0.351333427,2.156890723
167,valm.ch,Fence,1,0,0.3,1098,7.16055205,18.9057,10,0.439,424.45,0.985981859,2.553730644,1.242758762,0.137099143,1.173872738
168,valm.ch,Control,0,0,0.3,1098,7.16055205,18.9057,10,0.353,124.1,0.309830782,3.505145482,1.725339419,0.281540187,1.498265876
169,valm.ch,NPK,0,1,0.3,1098,7.16055205,18.9057,10,0.225,145.45,0.494327948,4.352218324,1.979159053,0.338477551,2.03458172
170,valm.ch,Fence,1,0,0.3,1098,7.16055205,18.9057,10,0.391,116.25,0.341935484,3.628805086,1.623818475,0.277268038,1.727718574
171,valm.ch,NPK_Fence,1,1,0.3,1098,7.16055205,18.9057,10,0.367,343.95,0.685564762,4.465322599,1.917594571,0.320351454,2.227376574
172,valm.ch,Control,0,0,0.3,1098,7.16055205,18.9057,10,0.367,88.6,0.463318284,3.568298952,1.716988315,0.307011435,1.544299202
173,valm.ch,NPK,0,1,0.3,1098,7.16055205,18.9057,10,0.427,275.9,0.695541863,3.846672256,1.689304253,0.336508183,1.82085982
174,valm.ch,Fence,1,0,0.3,1098,7.16055205,18.9057,10,0.439,131.2,0.105945122,4.075720719,1.87177313,0.346552055,1.857395534
175,valm.ch,NPK_Fence,1,1,0.3,1098,7.16055205,18.9057,10,0.328,292.45,0.722858608,3.616699063,1.551397066,0.313386896,1.7519151
